General,English Translation,পদ (Google API),Updated Human,পদ (Human),Barishal_bangla_speech,Sylhet_bangla_speech,Chittagong_bangla_speech,Mymensingh_bangla_speech,Noakhali_bangla_speech
ঠেকা,Prevention,বিশেষ্য,বিশেষ্য,ক্রিয়া,ঠ্যাহা,ঠেকা,ঠেকা,ঠেকা,ঠিকানাহীন
ঠেকান,prevent,বিশেষ্য,ক্রিয়া,ক্রিয়া,বাঁচাইছে  ,ঠেকান,ঠেকাইয়্যে,আটকানো ,ঠেয়া
ঠেকানো,prevent,বিশেষ্য,ক্রিয়া,ক্রিয়া,ঠেহাইন্না,আটকানি,ঠেকানো,ঠেকান,ঠেকান
ডাইভ,Dive,বিশেষ্য,ক্রিয়া,ক্রিয়া,ডাইভ  ,ডাইভ,ডাইভ,আটকানো ,ঠেয়ান
ডাক,mail,বিশেষ্য,বিশেষ্য,ক্রিয়া,ডাক,ডাখ,ডাক,ডাক,ডাইভ
ডাকবেন,Will call,ক্রিয়া,ক্রিয়া,ক্রিয়া,বোলাইবেন,ডাকবা,ডাকিবেন,ডাকবেন,ডাক
ডাকেনি,didn't call,ক্রিয়া,ক্রিয়া,ক্রিয়া,বোলায়নাই,ডাকছোইননা,ডাকেনে,ডাহে নাই,বোলাইবেন
ডাক্তার,doctor,বিশেষ্য,বিশেষ্য,বিশেষ্য,ডাক্তার,ডাখতর,ডাক্তর,ডাক্তার,কয় নো
ডাক্তাররা,the doctors,সর্বনাম,বিশেষ্য,বিশেষ্য,ডাক্তাররা,ডাখতররা,ডাক্তর,ডাক্তাররা,ডাক্তার
ডাক্তারি,medical,বিশেষণ,বিশেষ্য,বিশেষ্য,ডাক্তারি,ডাখতরি,ডাক্তরি,ডাক্তারি,ডাক্তাররা
ডাক্তারের,doctor's,বিশেষ্য,বিশেষণ,বিশেষ্য,ডাক্তারের,ডাক্তারের,ডাক্তরর,ডাক্তারের,ডাক্তারি
ডাল,Dal,বিশেষ্য,বিশেষ্য,বিশেষ্য,ডাইল,ডাইল,দাইল,ডাল,ডাক্তারের
ডিম,the egg,সর্বনাম,বিশেষ্য,বিশেষ্য,আন্ডা,ডিম,ডিম,ডিম,ডাল
ডিয়ে,Die,বিশেষ্য,বিশেষ্য,অব্যয়,দিয়া,দিয়া,দিয়েরে,দিয়া,ডিম
ডুবে,drowned,ক্রিয়া,ক্রিয়া,ক্রিয়া,ডুইব্বা,ডুবি,ডুবি,ডুইববা,দি
ঢং,Dhong,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঢং,ফুংগামি,ঢং,ঢং,ডুবি
ঢাকা,Dhaka,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঢাহা ,ঢাকিয়া,ঢাকা ,ঢাহা,ঢং
ঢাকাতে,In Dhaka,অব্যয়,অব্যয়,অব্যয়,ঢাহায়,ঢাকাত,ঢাহাত,ঢাকাত,ঢাহা 
ঢাকায়,In Dhaka,অব্যয়,অব্যয়,অব্যয়,ঢাহায়,ঢাকা,ঢাহাত,ঢাকায়,ঢাকাত
ঢাকার,Dhaka,বিশেষ্য,বিশেষণ,বিশেষ্য,ঢাকার,ঢাকার,ডাহার,ঢাকার,ঢাকায়
ঢাকায়,In Dhaka,অব্যয়,অব্যয়,অব্যয়,ধাহা,ঢাকাত,ঢাহা,ঢাকাত,ঢাকার
ঢুকতে,to enter,ক্রিয়া,ক্রিয়া,ক্রিয়া,ঢোকতে,ঢুকতে,ডুইক্তে,ঢুকতে,ঢাকাত
ঢুকে,come in,ক্রিয়া,ক্রিয়া,ক্রিয়া,ঢুকে,হামাই,ঢুকি,ঢুইক্কা,ঢুইকতে
তখন,then,বিশেষণ,অব্যয়,অব্যয়,তহন,যখন,এত্তে,তহন,ঢুকি
তখনই,That's when,সর্বনাম,অব্যয়,অব্যয়,তহনই,সময় অউ,সময়এ,তহনই,হে সময়
তখনকার,at that time,অব্যয়,বিশেষণ,বিশেষণ,হেই,তখনকুর,এত্তেয়ার,তহনকার,তন এ
তখনো,still,বিশেষণ,অব্যয়,অব্যয়,তহন,তখনো,তহনো,তহনো,তনকার
তত,as much,অব্যয়,অব্যয়,অব্যয়,হ্যাতো,তত,তত,তত,হেক্তেও
ততই,as much,অব্যয়,অব্যয়,অব্যয়,অহনেই ,ততউ,তত,ততই ,তত
ততদিন,until then,অব্যয়,অব্যয়,অব্যয়,হেইদিন,ততদিন,তাইবো,ততদিন,ততই
ততদিনে,By then,অব্যয়,অব্যয়,অব্যয়,অতদিনে,ততদিনে,ততদিনত,ততদিনে,ততদিন
ততবার,That many times,সর্বনাম,অব্যয়,অব্যয়,ততোবার,ততবার,ততবার,ততবার,ততদিনে
ততোদিনে,By then,অব্যয়,অব্যয়,অব্যয়,ততদিনে,ততদিনে,ততোদিনত,ততোদিনে,ততবার
তবু,Still,বিশেষণ,অব্যয়,অব্যয়,তবুও  ,তেও,ইয়ার,তবু,ততোদিনে
তবুও,nevertheless,বিশেষণ,অব্যয়,অব্যয়,হেইরপরেও,তেবো,তারফরও,তাও,তবু
তবে,However,বিশেষণ,অব্যয়,অব্যয়,হ্যালে,তবে,তইলে,তবে,হিয়ার হরেও
তরকারি,Curry,বিশেষ্য,বিশেষ্য,বিশেষ্য,শালুন,তরকারি,তরহারি,তরকারি,তাইলে
তরকারির,curry,বিশেষ্য,বিশেষণ,বিশেষ্য,শালুনের,তরকারির,তরহারি,তরকারির,তরকাতি
তরকারী,curry,বিশেষ্য,বিশেষ্য,বিশেষ্য,শালুন,তরকারি,তরহারি,তরকারী,তরকারির
তরুণ,young,বিশেষণ,বিশেষণ,বিশেষণ,তরুন,জোয়ান,ইয়াং গুন,জোয়ান,তরকারি
তরুণীকে,the young woman,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইয়াডারে,ফুড়িরে,মাইফোয়ারে,ছেড়িরে,জোয়ান
তা,that,অব্যয়,সর্বনাম,সর্বনাম,হেইয়া,ইতা,হইত,তা,মাইয়ারে
তা-ও,That's it,সর্বনাম,সর্বনাম,সর্বনাম,তবুও  ,তা-ও,তা-ও,তাও ,হিগুন
তাঁকে,him,সর্বনাম,সর্বনাম,সর্বনাম,হ্যারে,তাঁনরে,তারে,তাঁরে,তা-ও
তাঁদের,their,সর্বনাম,সর্বনাম,সর্বনাম,হ্যাগো,ইতার,তারার,তারার,হেতনরে
তাঁর,his,বিশেষ্য,সর্বনাম,সর্বনাম,হেয়ার,হের,ইবা তার,তার,হেতাগো
তাঁর,his,বিশেষ্য,সর্বনাম,সর্বনাম,অই সেম্রির,হের,ইবের,হের,হের
তাঁর,his,বিশেষ্য,সর্বনাম,সর্বনাম,হেয়ার ,অগুর,ইবের,হের , তাঁর
তাঁরা,They are,সর্বনাম,সর্বনাম,সর্বনাম,হেগো  ,তাঁরা,ইতারা,তারা,হেতের
তাঁরাও,They too,সর্বনাম,সর্বনাম,সর্বনাম,হেউরাও  ,তাঁরাও,উরাগুনও,হেরাও ,হেতারা 
তাই,so,বিশেষণ,অব্যয়,সর্বনাম,হেইহার,তাইন,ওর,তাই,তাঁরাও
তাইতো,So,বিশেষণ,অব্যয়,অব্যয়,হেইতে,এরলাগিতো,এতেল্লাই,তাইতো,এইডার লাই
তাও,That too,সর্বনাম,অব্যয়,অব্যয়,হেইয়াও,তাও,ইবাও,তাও,হেটার লাই
তাকাও,take a look,ক্রিয়া,সর্বনাম,ক্রিয়া,চাও,চাও,ওদ্দো,তাকাও,হিয়ান ও
তাকিয়ে,looking,ক্রিয়া,অব্যয়,ক্রিয়া,চাইয়া,তাকিয়া,চায়,তাকাইয়া,রেনো
তাকিয়ে,Looking,ক্রিয়া,অব্যয়,ক্রিয়া,চাইয়া,চাইয়া,চাই,তাকায়া,রেনি
তাকে,him,সর্বনাম,সর্বনাম,সর্বনাম,হ্যারে,তাকে,ইতারে,তাকে,তাকাই
তাকে,to him,সর্বনাম,সর্বনাম,সর্বনাম,হ্যারে,তরে ,তাহেররে,তরে,হিগারে
তাকেই,That's him,সর্বনাম,সর্বনাম,সর্বনাম,হ্যারেই,তারেই,তারেই,তারেই,তরে
